id,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,load_date
34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529,3/01/2001
35,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129,3/01/2001
36,0,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295,3/01/2001
37,0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295,3/01/2001
38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895,3/01/2001
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845,3/01/2001
41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295,3/01/2001
42,0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110.0,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945,3/01/2001
48,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250,3/01/2001
51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195,3/01/2001
52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095,3/01/2001
53,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795,3/01/2001
54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695,3/01/2001
55,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395,3/01/2001
60,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845,4/01/2001
62,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595,4/01/2001
63,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245,4/01/2001
65,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245,4/01/2001
66,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140.0,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280,4/01/2001
68,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552,4/01/2001
69,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248,4/01/2001
71,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600,4/01/2001
77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389,4/01/2001
78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189,4/01/2001
79,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669,4/01/2001
80,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689,4/01/2001
81,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959,4/01/2001
82,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499,4/01/2001
86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989,4/01/2001
89,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,5/01/2001
90,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499,5/01/2001
91,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103.0,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099,5/01/2001
92,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649,5/01/2001
93,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849,5/01/2001
94,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349,5/01/2001
95,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299,5/01/2001
97,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499,5/01/2001
98,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999,5/01/2001
99,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249,5/01/2001
100,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949,5/01/2001
101,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549,5/01/2001
102,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499,5/01/2001
103,0,108,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,14399,5/01/2001
104,0,108,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152.0,5200.0,19,25,13499,5/01/2001
105,3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,17199,5/01/2001
106,3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181.0,mpfi,3.43,3.27,7.8,200.0,5200.0,17,23,19699,5/01/2001
107,1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,18399,5/01/2001
108,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,11900,5/01/2001
109,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28,33,13200,5/01/2001
113,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900,5/01/2001
116,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120.0,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,16630,5/01/2001
117,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152.0,idi,3.7,3.52,21.0,95.0,4150.0,28,33,17950,5/01/2001
118,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134.0,mpfi,3.61,3.21,7.0,142.0,5600.0,18,24,18150,5/01/2001
120,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,6/01/2001
121,1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229,6/01/2001
122,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692,6/01/2001
123,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609,6/01/2001
124,-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,24,30,8921,6/01/2001
126,3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151.0,mpfi,3.94,3.11,9.5,143.0,5500.0,19,27,22018,6/01/2001
133,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121.0,mpfi,3.54,3.07,9.31,110.0,5250.0,21,28,11850,6/01/2001
134,2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121.0,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,12170,6/01/2001
135,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121.0,mpfi,2.54,2.07,9.3,110.0,5250.0,21,28,15040,6/01/2001
136,2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121.0,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,15510,6/01/2001
137,3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121.0,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18150,6/01/2001
138,2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121.0,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18620,6/01/2001
139,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97.0,2bbl,3.62,2.36,9.0,69.0,4900.0,31,36,5118,6/01/2001
140,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7053,6/01/2001
141,2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7603,6/01/2001
142,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82.0,4800.0,32,37,7126,6/01/2001
144,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94.0,5200.0,26,32,9960,6/01/2001
145,0,102,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,24,25,9233,6/01/2001
146,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111.0,4800.0,24,29,11259,6/01/2001
147,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,28,32,7463,6/01/2001
148,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94.0,5200.0,25,31,10198,6/01/2001
149,0,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82.0,4800.0,23,29,8013,7/01/2001
151,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,35,39,5348,7/01/2001
152,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6338,7/01/2001
153,1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6488,7/01/2001
154,0,77,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,31,37,6918,7/01/2001
155,0,81,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,7898,7/01/2001
156,0,91,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,8778,7/01/2001
157,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,6938,7/01/2001
158,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,7198,7/01/2001
159,0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,four,110.0,idi,3.27,3.35,22.5,56.0,4500.0,34,36,7898,7/01/2001
160,0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110.0,idi,3.27,3.35,22.5,56.0,4500.0,38,47,7788,7/01/2001
161,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,38,47,7738,7/01/2001
162,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,8358,7/01/2001
163,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,9258,7/01/2001
164,1,168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8058,7/01/2001
165,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8238,7/01/2001
167,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,four,98.0,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9538,7/01/2001
168,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,8449,7/01/2001
169,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9639,7/01/2001
170,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9989,7/01/2001
171,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11199,7/01/2001
172,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,four,146.0,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11549,7/01/2001
175,-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110.0,idi,3.27,3.35,22.5,73.0,4500.0,30,33,10698,7/01/2001
176,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122.0,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,9988,7/01/2001
177,-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122.0,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,10898,7/01/2001
178,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122.0,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,11248,7/01/2001
179,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,dohc,six,171.0,mpfi,3.27,3.35,9.3,161.0,5200.0,20,24,16558,7/01/2001
180,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,dohc,six,171.0,mpfi,3.27,3.35,9.3,161.0,5200.0,19,24,15998,8/01/2001
181,-1,90,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171.0,mpfi,3.27,3.35,9.2,156.0,5200.0,20,24,15690,8/01/2001
183,2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,97.0,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7775,8/01/2001
184,2,122,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,109.0,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,7975,8/01/2001
185,2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97.0,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7995,8/01/2001
186,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,109.0,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8195,8/01/2001
187,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,109.0,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8495,8/01/2001
188,2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97.0,idi,3.01,3.4,23.0,68.0,4500.0,37,42,9495,8/01/2001
191,3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,ohc,four,109.0,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,9980,8/01/2001
195,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,12940,8/01/2001
197,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,15985,8/01/2001
198,-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,16515,8/01/2001
199,-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130.0,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18420,8/01/2001
200,-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130.0,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18950,8/01/2001
201,-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,16845,8/01/2001
202,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141.0,mpfi,3.78,3.15,8.7,160.0,5300.0,19,25,19045,8/01/2001
204,-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145.0,idi,3.01,3.4,23.0,106.0,4800.0,26,27,22470,8/01/2001
207,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141.0,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,12940,8/01/2001
209,0,77,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,31,37,6918,7/01/2001
211,0,91,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92.0,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,8778,7/01/2001
212,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,four,98.0,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,6938,7/01/2001
216,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389,4/01/2001
217,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189,4/01/2001
218,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669,4/01/2001
219,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689,4/01/2001
